STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-18,0,75,86.0,67
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-19,0,82,89.0,66
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-19,0,77,81.0,69
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-19,0,78,85.0,72
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-19,0,53,70.0,41
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-19,0,75,85.0,65
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-20,0,80,85.0,69
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-20,0,78,85.0,74
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-20,0,79,85.0,72
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-20,0,54,90.0,40
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-20,0,76,90.0,67
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-21,0,82,90.0,69
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-21,0,78,83.0,73
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-21,0,80,88.0,73
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-21,0,56,71.0,44
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-21,0,77,86.0,68
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-22,0,82,92.0,69
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-22,0,79,83.0,73
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-22,0,80,88.0,73
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-22,0,57,71.0,42
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-22,0,77,86.0,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-23,0,82,92.0,69
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-23,0,79,83.0,69
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-23,0,80,87.0,72
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-23,0,57,72.0,45
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-23,0,78,88.0,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-24,0,83,92.0,70
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-24,0,80,84.0,74
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-24,0,82,90.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-24,0,56,69.0,44
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-24,0,78,90.0,70
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-25,0,81,86.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-25,0,83,88.0,78
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-25,0,59,71.0,45
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-25,0,81,89.0,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-26,0,87,94.0,76
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-26,0,82,87.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-26,0,83,89.0,77
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-26,0,60,68.0,48
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-26,0,83,94.0,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-27,0,84,94.0,70
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-27,0,80,86.0,70
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-27,0,82,87.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-27,0,60,69.0,76
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-27,0,81,69.0,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-28,0,82,91.0,71
